"","Relevé","TITLE","LITERATURE","YEAR","TAX_SCOPE","SAMPLING_METHOD","QUANT_METHOD","FAMILY","GENERA","EPITHET","SPECIES","IDENTIFICATION_CONFIDENCE","EPILIST","EPIPHYTE_FLORA","HEMIEPIPHYTE_FLORA","RUPICOLOUS_FLORA","TERRESTRIAL_FLORA","UNKNOWN_FLORA","NATURALNESS","INCLUSION.REQUIREMENTS","NUMBER_INDIVIDUALS","FREQUENCY","BIOMASS","SCORE","LONGITUDE","LATITUDE","PRECISION","PHOROPHYTE_FAMILY","PHOROPHYTE_GENUS","PHOROPHYTE_EPITHET","DBH","HEIGHT","OBS.","BIOME","COUNTRY","WWF_ECOREGION","PHYLUM"
"152",152,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Mormodes","rosea","Mormodes rosea","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"153",153,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Notylia","lyrata","Notylia lyrata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"154",154,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Orleanesia","cuneipetala","Orleanesia cuneipetala","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"155",155,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Ornithocephalus","gladiatus","Ornithocephalus gladiatus","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"156",156,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Plectrophora","cultrifolia","Plectrophora cultrifolia","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"157",157,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Polystachya","concreta","Polystachya concreta","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"158",158,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Polystachya","foliosa","Polystachya foliosa","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"159",159,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Prosthechea","pachysepala","Prosthechea pachysepala","","Missing",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"160",160,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Rodriguezia","lanceolata","Rodriguezia lanceolata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"161",161,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Scaphyglottis","modesta","Scaphyglottis modesta","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"162",162,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Solenidium","lunatum","Solenidium lunatum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"163",163,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Specklinia","grobyi","Specklinia grobyi","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"164",164,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","fuscum","Trichocentrum fuscum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"165",165,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","morenoi","Trichocentrum morenoi","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"166",166,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","nanum","Trichocentrum nanum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"167",167,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Vanilla","palmarum","Vanilla palmarum","","Epiphyte",0,1,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"168",168,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Xylobium","foveatum","Xylobium foveatum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"169",169,"Biogeografia das Orquídeas da Chapada dos Guimarães, Mato Grosso, Brasil.","Paper",2004,"Orchidaceae","Others","Presence","Orchidaceae","Xylobium","undulatum","Xylobium undulatum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-55.535,-15.2043,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"170",170,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Acianthera","hamosa","Acianthera hamosa","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"171",171,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Acianthera","ramosa","Acianthera ramosa","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"172",172,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Anathallis","imbricata","Anathallis imbricata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"173",173,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Anathallis","imbricata","Anathallis imbricata","aff.","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"174",174,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Anathallis","laciniata","Anathallis laciniata","aff.","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"175",175,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Aspasia","variegata","Aspasia variegata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"176",176,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Brassavola","flagellaris","Brassavola flagellaris","cf.","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"177",177,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","aff.","Epiphyte",0,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"178",178,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Bulbophyllum","insectiferum","Bulbophyllum insectiferum","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"179",179,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Bulbophyllum","plumosum","Bulbophyllum plumosum","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"180",180,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Bulbophyllum",NA,"Bulbophyllum sp.1","morpho",NA,0,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"181",181,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Campylocentrum","neglectum","Campylocentrum neglectum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"182",182,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Catasetum","barbatum","Catasetum barbatum","aff.","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"183",183,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Cattleya","bicolor","Cattleya bicolor","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"184",184,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Cattleya","lundii","Cattleya lundii","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"185",185,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Cattleya","walkeriana","Cattleya walkeriana","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"186",186,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Comparettia","coccinea","Comparettia coccinea","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"187",187,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Cyrtopodium","saintlegerianum","Cyrtopodium saintlegerianum","","Missing",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"188",188,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"189",189,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Encyclia","conchaechila","Encyclia conchaechila","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"190",190,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Epidendrum","amblostomoides","Epidendrum amblostomoides","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"191",191,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Epidendrum","densiflorum","Epidendrum densiflorum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"192",192,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Epidendrum","nocturnum","Epidendrum nocturnum","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"193",193,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Epidendrum","pseudodifforme","Epidendrum pseudodifforme","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"194",194,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Epidendrum","rothii","Epidendrum rothii","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"195",195,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Galeandra","minax","Galeandra minax","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"196",196,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Galeottia","ciliata","Galeottia ciliata","","Epiphyte",1,0,0,1,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"197",197,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Gomesa","bifolia","Gomesa bifolia","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"198",198,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Gomesa","fuscopetala","Gomesa fuscopetala","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"199",199,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Gomesa","macropetala","Gomesa macropetala","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"200",200,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"201",201,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Isabelia","violacea","Isabelia violacea","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"202",202,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Isochilus","linearis","Isochilus linearis","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"203",203,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"204",204,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Lockhartia","goyazensis","Lockhartia goyazensis","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"205",205,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Maxillaria","parviflora","Maxillaria parviflora","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"206",206,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Maxillaria","subrepens","Maxillaria subrepens","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"207",207,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Maxillaria","uniflora","Maxillaria uniflora","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"208",208,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Mormodes","sinuata","Mormodes sinuata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"209",209,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Myoxanthus","lonchophyllus","Myoxanthus lonchophyllus","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"210",210,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Notylia","lyrata","Notylia lyrata","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"211",211,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Pabstiella","pristeoglossa","Pabstiella pristeoglossa","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"212",212,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Plectrophora","edwallii","Plectrophora edwallii","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"213",213,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Polystachya","concreta","Polystachya concreta","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"214",214,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Polystachya","concreta","Polystachya concreta","","Epiphyte",1,0,1,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"215",215,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Polystachya",NA,"Polystachya sp.","morpho",NA,0,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"216",216,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Rodriguezia","decora","Rodriguezia decora","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"217",217,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Sanderella","discolor","Sanderella discolor","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"218",218,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Scaphyglottis","livida","Scaphyglottis livida","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"219",219,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Scaphyglottis","prolifera","Scaphyglottis prolifera","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"220",220,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Specklinia","grobyi","Specklinia grobyi","aff.","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"221",221,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"222",222,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","cepula","Trichocentrum cepula","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"223",223,"Lista atualizada das Orchidaceae do Distrito Federal","Paper",2003,"Orchidaceae","Others","Presence","Orchidaceae","Trichocentrum","pumilum","Trichocentrum pumilum","","Epiphyte",1,0,0,0,0,"Natural/Semi-natural","",NA,NA,NA,"",-47.933333,-15.783333,"municipality","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"224",224,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Orchidaceae","Anathallis","imbricata","Anathallis imbricata","","Epiphyte",1,0,0,0,0,"Natural","",NA,NA,NA,"",-48.089444,-15.790833,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
"225",225,"Diversidade e riqueza de orquídeas epífitas em Matas de galeria da Floresta Nacional de Brasília-DF","Others",2013,"Orchidaceae","Others","Presence","Orchidaceae","Brassavola","flagellaris","Brassavola flagellaris","","Epiphyte",1,0,1,0,0,"Natural","",NA,NA,NA,"",-48.089444,-15.790833,"Area","","","",NA,NA,"","Cerrado","Brazil","Cerrado","Angiospermae"
